cast,title,year
John Turturro,Exodus: Gods and Kings,2014-12-03
Keanu Reeves,Something's Gotta Give,2003-12-12
Jack Nicholson,Something's Gotta Give,2003-12-12
Diane Keaton,Something's Gotta Give,2003-12-12
John Cusack,The Prince,2014-08-22
Denzel Washington,American Gangster,2007-11-02
Kevin Costner,Waterworld,1995-07-28
Laura Linney,The Truman Show,1998-06-04
Drew Barrymore,Charlie's Angels,2000-11-02
Gary Oldman,The Fifth Element,1997-05-07
Arnold Schwarzenegger,Total Recall,1990-06-01
Ewan McGregor,Robots,2005-03-10
Robin Williams,Robots,2005-03-10
Halle Berry,Robots,2005-03-10
Nicole Kidman,Paddington,2014-11-27
Drew Barrymore,Charlie's Angels: Full Throttle,2003-06-27
Morgan Freeman,Wanted,2008-06-19
James McAvoy,Wanted,2008-06-19
Jackie Chan,Rush Hour 3,2007-08-08
Joaquin Phoenix,The Village,2004-07-30
Adrien Brody,The Village,2004-07-30
Aaron Eckhart,Erin Brockovich,2000-03-17
Sylvester Stallone,Cliffhanger,1993-05-28
Hugh Grant,Four Weddings and a Funeral,1994-03-09
Bradley Cooper,The Hangover Part II,2011-05-25
John Travolta,Wild Hogs,2007-03-02
Tim Allen,Wild Hogs,2007-03-02
Martin Lawrence,Wild Hogs,2007-03-02
Jeff Bridges,True Grit,2010-12-22
Josh Brolin,True Grit,2010-12-22
Amy Adams,American Hustle,2013-12-12
Bradley Cooper,American Hustle,2013-12-12
Meg Ryan,You've Got Mail,1998-12-17
Gene Hackman,Enemy of the State,1998-11-20
Jon Voight,Enemy of the State,1998-11-20
Antonio Banderas,The Mask of Zorro,1998-07-16
Catherine Zeta-Jones,The Mask of Zorro,1998-07-16
Anthony Hopkins,The Mask of Zorro,1998-07-16
Anna Faris,Cloudy with a Chance of Meatballs 2,2013-09-26
James Caan,Cloudy with a Chance of Meatballs 2,2013-09-26
Samuel L. Jackson,Unbreakable,2000-11-13
Jeff Daniels,Dumb and Dumber,1994-12-16
Adam Sandler,Grown Ups 2,2013-07-11
Chris Rock,Grown Ups 2,2013-07-11
Nicolas Cage,Face/Off,1997-06-27
John Travolta,Face/Off,1997-06-27
Helena Bonham Carter,Dark Shadows,2012-05-08
Michelle Pfeiffer,Dark Shadows,2012-05-08
Jennifer Connelly,Hulk,2003-06-19
Al Pacino,The Godfather,1972-03-14
James Caan,The Godfather,1972-03-14
Keira Knightley,Love Actually,2003-09-07
Owen Wilson,Marley & Me,2008-12-25
Jennifer Aniston,Marley & Me,2008-12-25
Adam Sandler,Pixels,2015-07-16
Dwayne Johnson,Hercules,2014-07-23
John Hurt,Hercules,2014-07-23
Jack Nicholson,A Few Good Men,1992-12-11
Demi Moore,A Few Good Men,1992-12-11
Anna Faris,Cloudy with a Chance of Meatballs,2009-09-17
James Caan,Cloudy with a Chance of Meatballs,2009-09-17
Mark Wahlberg,Daddy's Home,2015-12-25
Will Ferrell,Daddy's Home,2015-12-25
Michael Keaton,RoboCop,2014-01-30
James Caan,Eraser,1996-06-21
Milla Jovovich,Resident Evil: Retribution,2012-09-12
Kate Beckinsale,Click,2006-06-22
Christopher Walken,Click,2006-06-22
Jack Black,Gulliver's Travels,2010-12-25
Emily Blunt,Gulliver's Travels,2010-12-25
Nicolas Cage,Gone in Sixty Seconds,2000-06-09
Paul Walker,2 Fast 2 Furious,2003-06-05
Eva Mendes,2 Fast 2 Furious,2003-06-05
Ethan Hawke,Dead Poets Society,1989-06-02
Seann William Scott,American Reunion,2012-04-04
Jason Lee,Alvin and the Chipmunks: The Road Chip,2015-12-17
Justin Long,Alvin and the Chipmunks: The Road Chip,2015-12-17
Keira Knightley,The Imitation Game,2014-11-14
Jennifer Connelly,The Day the Earth Stood Still,2008-12-10
Ralph Fiennes,Clash of the Titans,2010-04-01
Christopher Plummer,The Girl with the Dragon Tattoo,2011-12-14
Ben Affleck,Argo,2012-10-11
Ralph Fiennes,The English Patient,1996-11-14
Willem Dafoe,The English Patient,1996-11-14
Seann William Scott,American Wedding,2003-08-01
Jennifer Garner,Juno,2007-12-05
Steve Carell,Get Smart,2008-06-19
Kristen Wiig,Ghostbusters,2016-07-14
Julianne Moore,The Lost World: Jurassic Park,1997-05-23
Eva Mendes,Ghost Rider,2007-02-16
Seth Rogen,The Green Hornet,2011-01-12
Mickey Rourke,Immortals,2011-11-10
Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief,2010-02-01
Zooey Deschanel,Yes Man,2008-12-09
Jesse Eisenberg,The Social Network,2010-09-30
Justin Timberlake,The Social Network,2010-09-30
John Cusack,Con Air,1997-06-01
John Malkovich,Con Air,1997-06-01
Kirsten Dunst,Interview with the Vampire,1994-11-11
Jodie Foster,Flightplan,2005-09-22
Julianne Moore,Non-Stop,2014-01-26
Hayden Christensen,Jumper,2008-02-10
Kevin Kline,Wild Wild West,1999-06-29
Ryan Reynolds,Green Lantern,2011-06-16
Catherine Zeta-Jones,The Terminal,2004-06-17
Meryl Streep,It's Complicated,2009-12-23
Alec Baldwin,It's Complicated,2009-12-23
Steve Martin,It's Complicated,2009-12-23
Seth Rogen,Knocked Up,2007-06-01
Leslie Mann,Knocked Up,2007-06-01
Ralph Fiennes,The Prince of Egypt,1998-12-15
Patrick Stewart,The Prince of Egypt,1998-12-15
Val Kilmer,The Prince of Egypt,1998-12-15
Jamie Foxx,Collateral,2004-08-04
Morgan Freeman,Million Dollar Baby,2004-12-15
Clint Eastwood,Million Dollar Baby,2004-12-15
Danny DeVito,Twins,1988-12-09
Bradley Cooper,Valentine's Day,2010-02-10
Jessica Alba,Valentine's Day,2010-02-10
Jason Segel,Bad Teacher,2011-05-16
Justin Timberlake,Bad Teacher,2011-05-16
Willem Dafoe,Clear and Present Danger,1994-08-03
Anthony Hopkins,Dracula,1992-11-13
Winona Ryder,Dracula,1992-11-13
Heath Ledger,The Patriot,2000-06-28
Jennifer Aniston,Just Go with It,2011-02-10
Nicole Kidman,Just Go with It,2011-02-10
Michael Douglas,Disclosure,1994-12-09
Demi Moore,Disclosure,1994-12-09
Donald Sutherland,Disclosure,1994-12-09
John Travolta,Pulp Fiction,1994-10-08
Uma Thurman,Pulp Fiction,1994-10-08
Meryl Streep,Into the Woods,2014-12-25
Emily Blunt,Into the Woods,2014-12-25
Guy Pearce,Bedtime Stories,2008-12-24
Sean Connery,Entrapment,1999-04-29
Catherine Zeta-Jones,Entrapment,1999-04-29
Will Patton,Entrapment,1999-04-29
Michael Caine,Miss Congeniality,2000-12-14
Gabriel Byrne,End of Days,1999-11-24
Shia LaBeouf,Fury,2014-10-15
Logan Lerman,Fury,2014-10-15
Anthony Hopkins,Red Dragon,2002-09-29
Edward Norton,Red Dragon,2002-09-29
Denzel Washington,Safe House,2012-02-09
Vera Farmiga,Safe House,2012-02-09
Michael Douglas,Traffic,2000-12-27
Vin Diesel,The Fast and the Furious,2001-06-22
Paul Walker,The Fast and the Furious,2001-06-22
Denzel Washington,Philadelphia,1993-12-22
Sylvester Stallone,The Expendables 3,2014-08-04
Jason Statham,The Expendables 3,2014-08-04
Gerard Butler,London Has Fallen,2016-03-02
Aaron Eckhart,London Has Fallen,2016-03-02
Robert De Niro,Silver Linings Playbook,2012-09-08
Kevin Costner,JFK,1991-12-20
Jamie Foxx,White House Down,2013-06-27
Channing Tatum,White House Down,2013-06-27
Gerard Butler,The Ugly Truth,2009-07-24
Jennifer Aniston,The Break-Up,2006-06-01
Vince Vaughn,The Break-Up,2006-06-01
James Franco,Eat Pray Love,2010-08-12
Javier Bardem,Eat Pray Love,2010-08-12
Jake Gyllenhaal,Everest,2015-09-10
Josh Brolin,Everest,2015-09-10
Penélope Cruz,Vanilla Sky,2001-12-10
Aaron Eckhart,Battle: Los Angeles,2011-03-08
Philip Seymour Hoffman,Patch Adams,1998-12-25
Alec Baldwin,Fun with Dick and Jane,2005-12-21
Téa Leoni,Fun with Dick and Jane,2005-12-21
John Turturro,You Don't Mess with the Zohan,2008-06-05
Channing Tatum,21 Jump Street,2012-03-12
Jonah Hill,21 Jump Street,2012-03-12
Anna Faris,Yogi Bear,2010-12-11
Justin Timberlake,Yogi Bear,2010-12-11
Dan Aykroyd,Yogi Bear,2010-12-11
Bill Murray,Garfield,2004-06-10
Sean Connery,The Hunt for Red October,1990-03-02
Alec Baldwin,The Hunt for Red October,1990-03-02
Meg Ryan,City of Angels,1998-04-10
Martin Lawrence,Open Season,2006-09-29
Ashton Kutcher,Open Season,2006-09-29
Antonio Banderas,Spy Kids 3-D: Game Over,2003-07-25
Carla Gugino,Spy Kids 3-D: Game Over,2003-07-25
Leslie Mann,The Other Woman,2014-04-16
Drew Barrymore,50 First Dates,2004-02-13
Forest Whitaker,Panic Room,2002-03-29
Jodie Foster,Panic Room,2002-03-29
Sam Neill,The Vow,2012-02-05
Channing Tatum,The Vow,2012-02-05
Rachel McAdams,The Vow,2012-02-05
Anthony Hopkins,Beowulf,2007-11-05
Denzel Washington,The Pelican Brief,1993-12-16
Kate Winslet,The Holiday,2006-12-08
Jude Law,The Holiday,2006-12-08
Helena Bonham Carter,The Curse of the Were-Rabbit,2005-09-04
Denzel Washington,The Equalizer,2014-09-24
Gene Hackman,Superman II,1980-12-04
Chris Rock,The Longest Yard,2005-05-19
Josh Brolin,Hollow Man,2000-08-04
Kevin Bacon,Hollow Man,2000-08-04
Steve Martin,Cheaper by the Dozen,2003-12-24
Tim Allen,The Santa Clause,1994-11-10
Channing Tatum,22 Jump Street,2014-06-05
Jonah Hill,22 Jump Street,2014-06-05
Carla Gugino,Mr. Popper's Penguins,2011-06-17
Michael Fassbender,12 Years a Slave,2013-10-18
Sam Neill,The Horse Whisperer,1998-05-14
Robert Redford,The Horse Whisperer,1998-05-14
Reese Witherspoon,Walk the Line,2005-09-13
Joaquin Phoenix,Walk the Line,2005-09-13
Ben Kingsley,Hugo,2011-11-22
Carla Gugino,Watchmen,2009-03-05
Jodie Foster,Inside Man,2006-03-23
Clive Owen,Inside Man,2006-03-23
Mila Kunis,Jupiter Ascending,2015-02-04
James Marsden,Hop,2011-03-30
Mila Kunis,Bad Moms,2016-07-28
Sarah Michelle Gellar,The Grudge,2004-10-22
Sigourney Weaver,Aliens,1986-07-18
Nick Nolte,Cape Fear,1991-11-15
Meryl Streep,The Bridges of Madison County,1995-05-28
Clint Eastwood,The Bridges of Madison County,1995-05-28
John Travolta,Grease,1978-07-07
Kurt Russell,Poseidon,2006-05-12
Sarah Michelle Gellar,Scooby-Doo 2: Monsters Unleashed,2004-03-24
Freddie Prinze Jr.,Scooby-Doo 2: Monsters Unleashed,2004-03-24
Jennifer Jason Leigh,Road to Perdition,2002-07-12
Uma Thurman,Kill Bill: Vol. 1,2003-10-10
Reese Witherspoon,Sweet Home Alabama,2002-09-26
Naomi Watts,The Impossible,2012-09-09
Sean Connery,The League of Extraordinary Gentlemen,2003-07-11
John Leguizamo,Moulin Rouge!,2001-03-09
Nicole Kidman,Moulin Rouge!,2001-03-09
Anna Faris,Scary Movie 4,2006-04-13
Rosario Dawson,Eagle Eye,2008-09-25
Jake Gyllenhaal,Brokeback Mountain,2005-09-02
Heath Ledger,Brokeback Mountain,2005-09-02
Ashley Judd,Double Jeopardy,1999-09-24
Jet Li,Hero,2002-12-19
Matthew McConaughey,How to Lose a Guy in 10 Days,2003-02-07
Kate Hudson,How to Lose a Guy in 10 Days,2003-02-07
Drew Barrymore,He's Just Not That Into You,2009-02-06
Charlize Theron,The Italian Job,2003-05-30
Edward Norton,The Italian Job,2003-05-30
Logan Lerman,Percy Jackson: Sea of Monsters,2013-08-07
Jason Bateman,Identity Thief,2013-02-07
Martin Lawrence,Big Momma's House,2000-05-31
Paul Giamatti,Big Momma's House,2000-05-31
Nia Long,Big Momma's House,2000-05-31
Justin Timberlake,In Time,2011-10-27
Cillian Murphy,In Time,2011-10-27
Steve Carell,Anchorman 2: The Legend Continues,2013-12-18
Will Ferrell,Anchorman 2: The Legend Continues,2013-12-18
Paul Rudd,Anchorman 2: The Legend Continues,2013-12-18
Will Ferrell,Elf,2003-10-09
James Caan,Elf,2003-10-09
Zooey Deschanel,Elf,2003-10-09
Jude Law,Cold Mountain,2003-12-24
Nicole Kidman,Cold Mountain,2003-12-24
John Goodman,Evan Almighty,2007-06-09
Josh Hartnett,Black Hawk Down,2001-12-28
Philip Seymour Hoffman,Along Came Polly,2004-01-16
Vince Vaughn,Couples Retreat,2009-09-19
Jason Bateman,Couples Retreat,2009-09-19
Dan Aykroyd,Antz,1998-10-02
Woody Allen,Antz,1998-10-02
Josh Brolin,No Country for Old Men,2007-11-08
Javier Bardem,No Country for Old Men,2007-11-08
John Turturro,Mr. Deeds,2002-06-28
Winona Ryder,Mr. Deeds,2002-06-28
Matthew McConaughey,Contact,1997-07-11
Jennifer Connelly,Blood Diamond,2006-12-07
Eva Mendes,The Other Guys,2010-08-06
Richard Gere,Shall We Dance?,2004-10-15
Jennifer Lopez,Shall We Dance?,2004-10-15
Susan Sarandon,Shall We Dance?,2004-10-15
Ashton Kutcher,What Happens in Vegas,2008-05-07
Rosario Dawson,Zookeeper,2011-07-06
Jeff Daniels,Dumb and Dumber To,2014-11-12
John Goodman,The Emperor's New Groove,2000-12-09
Rosario Dawson,Seven Pounds,2008-12-18
Chris Pine,Unstoppable,2010-11-04
Rosario Dawson,Unstoppable,2010-11-04
Vince Vaughn,DodgeBall: A True Underdog Story,2004-06-18
Val Kilmer,Alexander,2004-11-21
Colin Farrell,Alexander,2004-11-21
Matthew McConaughey,Magic Mike,2012-06-28
Kevin Bacon,Sleepers,1996-10-18
Amy Adams,The Muppets,2011-11-22
Emily Blunt,The Muppets,2011-11-22
Jason Segel,The Muppets,2011-11-22
Chris Hemsworth,The Huntsman: Winter's War,2016-04-06
Charlize Theron,The Huntsman: Winter's War,2016-04-06
Willem Dafoe,Speed 2: Cruise Control,1997-06-13
Steve Zahn,Daddy Day Care,2003-05-03
Reese Witherspoon,Four Christmases,2008-11-26
Vince Vaughn,Four Christmases,2008-11-26
Robert Duvall,Four Christmases,2008-11-26
Edward Norton,The Incredible Hulk,2008-06-12
Vera Farmiga,Up in the Air,2009-09-05
Zooey Deschanel,The Happening,2008-06-11
John C. Reilly,Talladega Nights: The Ballad of Ricky Bobby,2006-08-04
Scarlett Johansson,The Island,2005-07-20
Maria Bello,World Trade Center,2006-08-09
Sean Penn,The Interpreter,2005-04-08
Catherine Keener,The Interpreter,2005-04-08
Nick Nolte,The Spiderwick Chronicles,2008-02-14
Sigourney Weaver,Alien: Resurrection,1997-11-12
Winona Ryder,Alien: Resurrection,1997-11-12
Don Cheadle,Flight,2012-11-02
Naomi Watts,The Ring Two,2005-03-17
Aaron Eckhart,Olympus Has Fallen,2013-03-20
Angela Bassett,Olympus Has Fallen,2013-03-20
John Malkovich,Johnny English,2003-04-06
James Marsden,27 Dresses,2008-01-10
Kate Beckinsale,Underworld: Awakening,2012-01-19
Sigourney Weaver,Alien³,1992-05-22
Paul Newman,The Sting,1973-12-25
Robert Redford,The Sting,1973-12-25
Richard Gere,The Jackal,1997-11-14
Viggo Mortensen,Daylight,1996-12-06
Gene Hackman,Unforgiven,1992-08-07
Clint Eastwood,Unforgiven,1992-08-07
Jessica Alba,Sin City,2005-04-01
Clive Owen,Sin City,2005-04-01
Robert Duvall,Days of Thunder,1990-06-27
Gene Hackman,Crimson Tide,1995-05-12
Reese Witherspoon,This Means War,2012-02-14
Kevin Bacon,Mystic River,2003-10-07
Sean Penn,Mystic River,2003-10-07
Tim Robbins,Mystic River,2003-10-07
Kurt Russell,The Hateful Eight,2015-12-25
Jennifer Jason Leigh,The Hateful Eight,2015-12-25
Michelle Pfeiffer,What Lies Beneath,2000-07-21
Rose Byrne,Knowing,2009-03-19
Jamie Foxx,Dreamgirls,2006-12-25
Jennifer Lopez,Maid in Manhattan,2002-12-13
Jennifer Lopez,Monster-in-Law,2005-05-13
Patrick Wilson,The Phantom of the Opera,2004-12-08
Ice Cube,Ride Along,2014-01-07
Al Pacino,The Devil's Advocate,1997-10-17
Christopher Walken,A View to a Kill,1985-05-24
Matthew McConaughey,A Time to Kill,1996-07-24
Uma Thurman,Kill Bill: Vol. 2,2004-04-16
Forest Whitaker,Phenomenon,1996-07-05
Laura Linney,Congo,1995-06-09
Queen Latifah,The Bone Collector,1999-11-04
Dennis Quaid,Vantage Point,2008-02-01
Forest Whitaker,Vantage Point,2008-02-01
Rachel McAdams,Midnight in Paris,2011-05-11
Justin Timberlake,Friends with Benefits,2011-07-21
Elijah Wood,Happy Feet Two,2011-11-17
Patrick Stewart,Star Trek: First Contact,1996-11-21
Al Pacino,Jack and Jill,2011-11-11
Emile Hirsch,Lone Survivor,2013-12-24
Anthony Anderson,"Me, Myself & Irene",2000-06-22
Jeff Bridges,Surf's Up,2007-06-08
Zooey Deschanel,Surf's Up,2007-06-08
Milla Jovovich,Resident Evil: Extinction,2007-09-20
Jeff Bridges,Seabiscuit,2003-07-22
Antonio Banderas,Spy Kids,2001-03-18
Ashton Kutcher,No Strings Attached,2011-01-21
Kevin Kline,No Strings Attached,2011-01-21
Jake Gyllenhaal,Source Code,2011-03-30
Vera Farmiga,Source Code,2011-03-30
Halle Berry,Swordfish,2001-06-07
Danny Glover,The Color Purple,1985-12-18
Hugh Grant,Music and Lyrics,2007-02-09
Dan Aykroyd,Driving Miss Daisy,1989-12-13
Laura Linney,The Exorcism of Emily Rose,2005-09-09
Steve Buscemi,Charlotte's Web,2006-12-15
Robert Redford,Spy Game,2001-11-18
Julianne Moore,"Crazy, Stupid, Love.",2011-07-29
Ryan Gosling,"Crazy, Stupid, Love.",2011-07-29
Antonio Banderas,The Legend of Zorro,2005-10-24
Ashton Kutcher,New Year's Eve,2011-12-08
Luke Wilson,Legally Blonde,2001-07-13
Bill Murray,Garfield: A Tail of Two Kitties,2006-06-15
Halle Berry,Gothika,2003-11-21
Martin Lawrence,Bad Boys,1995-04-07
Téa Leoni,Bad Boys,1995-04-07
Anna Faris,Scary Movie 2,2001-07-04
Gwyneth Paltrow,Shallow Hal,2001-11-01
Seth Rogen,Sausage Party,2016-07-11
Jonah Hill,Sausage Party,2016-07-11
Robert Duvall,Deep Impact,1998-05-08
Téa Leoni,Deep Impact,1998-05-08
Steve Buscemi,Monster House,2006-07-21
John Cusack,Anastasia,1997-11-20
Meg Ryan,Anastasia,1997-11-20
Willem Dafoe,Platoon,1986-12-18
Nia Long,Big Momma's House 2,2006-01-26
Kate Winslet,Contagion,2011-09-08
Patrick Stewart,Conspiracy Theory,1997-08-07
Jon Voight,Anaconda,1997-04-11
Jennifer Lopez,Anaconda,1997-04-11
Ice Cube,Anaconda,1997-04-11
Al Pacino,The Godfather: Part III,1990-12-24
Diane Keaton,The Godfather: Part III,1990-12-24
Will Patton,Remember the Titans,2000-09-29
Leslie Mann,17 Again,2009-03-11
Zac Efron,17 Again,2009-03-11
Michelle Pfeiffer,Stardust,2007-08-09
Hugh Grant,Sense and Sensibility,1995-12-13
Michael Douglas,Wall Street: Money Never Sleeps,2010-09-02
Rose Byrne,Annie,2014-12-19
Ryan Gosling,The Big Short,2015-12-11
Steve Martin,Bringing Down the House,2003-03-07
Queen Latifah,Bringing Down the House,2003-03-07
Milla Jovovich,The Three Musketeers,2011-08-31
Logan Lerman,The Three Musketeers,2011-08-31
Paula Patton,2 Guns,2013-08-02
Joan Cusack,School of Rock,2003-10-03
Jim Broadbent,Cloud Atlas,2012-10-26
Kate Hudson,"You, Me and Dupree",2006-07-14
Matt Dillon,"You, Me and Dupree",2006-07-14
Milla Jovovich,Resident Evil: Apocalypse,2004-09-10
Keira Knightley,Atonement,2007-08-29
James McAvoy,Atonement,2007-08-29
Steve Martin,Cheaper by the Dozen 2,2005-12-21
Rachel McAdams,Mean Girls,2004-04-30
Toni Collette,About a Boy,2002-04-26
Clint Eastwood,Space Cowboys,2000-07-31
Donald Sutherland,Space Cowboys,2000-07-31
Robert Redford,Out of Africa,1985-12-20
John C. Reilly,Step Brothers,2008-07-25
Jackie Chan,The Forbidden Kingdom,2008-04-18
Jet Li,The Forbidden Kingdom,2008-04-18
Harvey Keitel,U-571,2000-04-20
Richard Gere,First Knight,1995-07-07
Scarlett Johansson,Lucy,2014-07-14
Justin Long,Walking With Dinosaurs,2013-12-18
Laurence Fishburne,Predators,2010-07-03
Kevin Spacey,L.A. Confidential,1997-09-19
Guy Pearce,L.A. Confidential,1997-09-19
Danny DeVito,L.A. Confidential,1997-09-19
Jason Segel,Sex Tape,2014-07-17
Jonah Hill,This Is the End,2013-06-12
Sarah Michelle Gellar,I Know What You Did Last Summer,1997-10-17
Ryan Phillippe,I Know What You Did Last Summer,1997-10-17
Ice Cube,Ride Along 2,2016-01-14
Emma Stone,The Help,2011-08-09
Forest Whitaker,"Good Morning, Vietnam",1987-12-23
Guy Pearce,The Time Machine,2002-03-04
Helen Mirren,The Queen,2006-09-15
Jim Caviezel,Escape Plan,2013-10-09
Colin Firth,Nanny McPhee,2005-10-21
Kurt Russell,Executive Decision,1996-03-15
John Cusack,Dragon Blade,2015-02-19
Jackie Chan,Dragon Blade,2015-02-19
Adrien Brody,Dragon Blade,2015-02-19
Paul Walker,Eight Below,2006-02-17
Scarlett Johansson,We Bought a Zoo,2011-12-22
Adrien Brody,The Pianist,2002-09-24
Marisa Tomei,Parental Guidance,2012-12-25
Seann William Scott,Road Trip,2000-05-19
Bill Murray,Lost in Translation,2003-08-31
Penélope Cruz,Sahara,2005-04-06
Steve Zahn,Sahara,2005-04-06
Diane Lane,Unfaithful,2002-05-10
Philip Seymour Hoffman,Charlie Wilson's War,2007-12-19
Paul Newman,Message in a Bottle,1999-02-22
Val Kilmer,The Saint,1997-04-03
Carrie-Anne Moss,Pompeii,2014-02-18
Carrie-Anne Moss,Disturbia,2007-04-12
Luke Wilson,Blue Streak,1999-09-17
Mark Ruffalo,Now You See Me,2013-05-29
Jesse Eisenberg,Now You See Me,2013-05-29
Woody Harrelson,Now You See Me,2013-05-29
Susan Sarandon,The Client,1994-07-20
Heath Ledger,A Knight's Tale,2001-05-11
Helena Bonham Carter,Corpse Bride,2005-09-09
Jason Bateman,Horrible Bosses,2011-07-08
Sam Neill,The Piano,1993-05-19
Harvey Keitel,The Piano,1993-05-19
Annette Bening,The Siege,1998-11-06
Colin Farrell,S.W.A.T.,2003-08-08
Diane Keaton,The First Wives Club,1996-09-20
Joe Pesci,Casino,1995-11-22
Rachel McAdams,The Notebook,2004-06-25
Ryan Gosling,The Notebook,2004-06-25
Dennis Quaid,DragonHeart,1996-05-31
Dan Aykroyd,The Blues Brothers,1980-06-17
Kate Hudson,Bride Wars,2009-01-09
Greg Kinnear,We Were Soldiers,2002-03-01
Julianne Moore,Seventh Son,2014-12-12
Al Pacino,Insomnia,2002-05-24
Demi Moore,Striptease,1996-06-28
John Malkovich,Changeling,2008-01-30
Paul Giamatti,Saving Mr. Banks,2013-11-16
James Marsden,Cats & Dogs 2 : The Revenge of Kitty Galore,2010-07-30
Nick Nolte,Cats & Dogs 2 : The Revenge of Kitty Galore,2010-07-30
Kate Beckinsale,Underworld: Evolution,2006-01-12
Kate Hudson,Fool's Gold,2008-02-07
Donald Sutherland,Fool's Gold,2008-02-07
Seann William Scott,The Dukes of Hazzard,2005-08-05
Philip Seymour Hoffman,Moneyball,2011-09-22
Woody Harrelson,Free Birds,2013-10-30
Michael Caine,The Prestige,2006-10-19
Joseph Gordon-Levitt,Treasure Planet,2002-11-26
Paul Giamatti,Sideways,2004-10-22
Paul Rudd,The 40 Year Old Virgin,2005-08-11
Catherine Keener,The 40 Year Old Virgin,2005-08-11
Sean Penn,The Game,1997-09-12
Danny DeVito,One Flew Over the Cuckoo's Nest,1975-11-18
Rose Byrne,Neighbors 2: Sorority Rising,2016-05-04
Zac Efron,Neighbors 2: Sorority Rising,2016-05-04
Paul Giamatti,Cinderella Man,2005-06-02
Viggo Mortensen,Hidalgo,2004-03-05
Ice Cube,Three Kings,1999-09-27
Annette Bening,The American President,1995-11-17
Jason Bateman,Horrible Bosses 2,2014-11-26
Heath Ledger,The Brothers Grimm,2005-08-26
Ryan Gosling,Gangster Squad,2013-01-10
Nick Nolte,Gangster Squad,2013-01-10
Jason Segel,Forgetting Sarah Marshall,2008-04-17
Seann William Scott,Planet 51,2009-11-19
Sigourney Weaver,Alien,1979-05-25
Ethan Hawke,Training Day,2001-10-05
Zooey Deschanel,The Hitchhiker's Guide to the Galaxy,2005-01-15
Sam Rockwell,The Hitchhiker's Guide to the Galaxy,2005-01-15
Jennifer Lopez,The Cell,2000-08-17
Danny Glover,Saw,2004-10-01
Emma Stone,Birdman,2014-08-27
Michael Keaton,Birdman,2014-08-27
Freddie Prinze Jr.,She's All That,1999-01-29
Matthew Broderick,The Cable Guy,1996-06-10
Woody Harrelson,Zombieland,2009-10-07
Paul Newman,Butch Cassidy and the Sundance Kid,1969-09-23
Robert Redford,Butch Cassidy and the Sundance Kid,1969-09-23
Robert Duvall,John Q,2002-02-15
Matthew Broderick,The Stepford Wives,2004-06-10
Kate Beckinsale,The Aviator,2004-12-17
Brendan Fraser,Journey to the Center of the Earth,2008-07-10
Jean-Claude Van Damme,Timecop,1994-09-15
Ashton Kutcher,Just Married,2003-01-09
Annette Bening,Mars Attacks!,1996-12-12
Greg Kinnear,Heaven is for Real,2014-04-16
Meg Ryan,Courage Under Fire,1996-07-04
Edward Norton,Fight Club,1999-10-15
Jennifer Garner,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014-10-08
Susan Sarandon,Tammy,2014-07-02
Toni Collette,Little Miss Sunshine,2006-07-26
Greg Kinnear,Little Miss Sunshine,2006-07-26
Dennis Quaid,Any Given Sunday,1999-12-16
Demi Moore,The Hunchback of Notre Dame,1996-06-21
Catherine Keener,Where the Wild Things Are,2009-10-16
Abigail Breslin,Nim's Island,2008-04-03
Jean-Claude Van Damme,Street Fighter,1994-12-22
Zac Efron,The Lucky One,2012-04-19
Alec Baldwin,Blue Jasmine,2013-07-25
Don Cheadle,Crash,2004-01-13
Matt Dillon,Crash,2004-01-13
Salma Hayek,Once Upon a Time in Mexico,2003-09-11
Adrien Brody,The Thin Red Line,1998-12-25
Jim Caviezel,The Thin Red Line,1998-12-25
Sean Penn,The Thin Red Line,1998-12-25
Ice Cube,Are We There Yet?,2005-01-20
Nia Long,Are We There Yet?,2005-01-20
Colin Farrell,Phone Booth,2002-09-09
Kiefer Sutherland,Phone Booth,2002-09-09
Paul Rudd,The Little Prince,2015-07-29
Zoe Saldana,The Book of Life,2014-10-01
Patrick Wilson,Insidious,2010-09-13
Ed Harris,Enemy at the Gates,2001-03-13
Rachel Weisz,Enemy at the Gates,2001-03-13
Joaquin Phoenix,8MM,1999-02-26
Jennifer Garner,13 Going on 30,2004-04-13
Javier Bardem,Vicky Cristina Barcelona,2008-08-15
Uma Thurman,Paycheck,2003-12-25
Abigail Breslin,My Sister's Keeper,2009-06-26
Danny Glover,Shooter,2007-03-22
Sarah Michelle Gellar,TMNT,2007-03-23
Ashley Judd,Dolphin Tale,2011-09-23
Uma Thurman,Be Cool,2005-03-04
Catherine Keener,Captain Phillips,2013-10-10
Greg Kinnear,Green Zone,2010-03-11
Zac Efron,Dirty Grandpa,2016-01-21
Emile Hirsch,Speed Racer,2008-05-09
Cillian Murphy,In the Heart of the Sea,2015-11-20
Rachel Weisz,The Lovely Bones,2009-12-26
Susan Sarandon,The Lovely Bones,2009-12-26
John Turturro,Secret Window,2004-03-12
Meg Ryan,When Harry Met Sally...,1989-07-21
Abigail Breslin,No Reservations,2007-07-25
Michelle Pfeiffer,I Am Sam,2001-12-28
Sean Penn,I Am Sam,2001-12-28
Paul Rudd,Role Models,2008-02-03
Elizabeth Banks,Role Models,2008-02-03
