director,revenue,popularity,vote_average,name
1894,40283321,21.535126,6.2,Robert Rodriguez
1894,39407616,85.428395,6.3,Robert Rodriguez
1894,31327899,26.396191,6.3,Robert Rodriguez
1894,28972508,4.100942,5.1,Robert Rodriguez
1894,25836616,64.181668,6.9,Robert Rodriguez
1894,25405445,25.511217,6.8,Robert Rodriguez
1894,25037897,16.637642,6.8,Robert Rodriguez
1894,15008161,29.072964,5.3,Robert Rodriguez
1894,2040920,14.269792,6.6,Robert Rodriguez
2050,184376254,45.220386,7.3,Spike Lee
2050,48169908,19.822791,7.2,Spike Lee
2050,37295445,15.580335,7.6,Spike Lee
2050,21567853,10.232599,6.7,Spike Lee
2050,16153593,3.079862,6.3,Spike Lee
2050,13060843,30.196039,7.2,Spike Lee
2050,9323833,11.387408,6.3,Spike Lee
2050,5731103,4.623059,7.0,Spike Lee
2050,4939939,2.993939,5.7,Spike Lee
2050,0,4.480579,4.1,Spike Lee
2050,0,6.722213,6.1,Spike Lee
2050,0,1.89218,6.7,Spike Lee
2050,0,2.23411,6.3,Spike Lee
2050,0,1.918959,6.3,Spike Lee
2050,0,3.70789,6.3,Spike Lee
2050,0,3.159574,6.2,Spike Lee
1810,255000211,26.19909,6.1,Renny Harlin
1810,240031094,57.69847,6.6,Renny Harlin
1810,89456761,15.858629,6.5,Renny Harlin
1810,78000586,15.761384,4.7,Renny Harlin
1810,73648228,22.991269,5.6,Renny Harlin
1810,72500000,17.113408,5.8,Renny Harlin
1810,61279452,25.020428,4.4,Renny Harlin
1810,54744738,8.468586,4.5,Renny Harlin
1810,37597471,15.804814,5.2,Renny Harlin
1810,21148829,17.193659,6.3,Renny Harlin
1810,20423389,2.808428,6.2,Renny Harlin
1810,17280326,15.66135,5.7,Renny Harlin
1810,10017322,7.029308,5.7,Renny Harlin
1810,354704,7.605291,6.7,Renny Harlin
1810,17479,5.727602,5.8,Renny Harlin
2106,450717150,60.929352,7.2,Steven Soderbergh
2106,362744280,76.840712,6.4,Steven Soderbergh
2106,311312624,42.069993,6.5,Steven Soderbergh
2106,256271286,30.347332,7.1,Steven Soderbergh
2106,207515725,25.170217,6.9,Steven Soderbergh
2106,167221571,35.897151,6.1,Steven Soderbergh
2106,137551594,38.820858,6.2,Steven Soderbergh
2106,77745568,16.000178,6.5,Steven Soderbergh
2106,63372757,48.237797,6.4,Steven Soderbergh
2106,35424826,17.772518,6.0,Steven Soderbergh
2106,33372606,26.257951,5.6,Steven Soderbergh
2106,5914908,5.347936,5.9,Steven Soderbergh
2106,3193102,8.902102,6.6,Steven Soderbergh
2106,2506446,1.95686,4.8,Steven Soderbergh
2106,0,10.869492,6.7,Steven Soderbergh
2168,1025491110,78.530105,6.4,Tim Burton
2168,474968763,53.905592,6.7,Tim Burton
2168,411348924,44.104469,7.0,Tim Burton
2168,362211740,51.188633,5.6,Tim Burton
2168,280000000,59.113174,6.6,Tim Burton
2168,245527149,50.306728,5.7,Tim Burton
2168,122919055,46.199482,7.6,Tim Burton
2168,117195061,43.571612,7.2,Tim Burton
2168,101371017,44.090535,6.1,Tim Burton
2168,73326666,58.553213,7.1,Tim Burton
2168,53000000,47.51363,7.5,Tim Burton
2168,35287788,27.908783,6.6,Tim Burton
2168,28883511,28.570174,6.8,Tim Burton
2168,5887457,24.548633,7.3,Tim Burton
1654,205405498,26.82041,7.5,Oliver Stone
1654,167298192,39.019229,5.6,Oliver Stone
1654,162945894,24.697533,5.9,Oliver Stone
1654,161001698,25.949277,6.7,Oliver Stone
1654,138530565,49.802914,7.5,Oliver Stone
1654,134748021,23.25645,5.8,Oliver Stone
1654,100230832,23.127561,6.8,Oliver Stone
1654,82966152,31.856589,6.2,Oliver Stone
1654,43848069,24.898687,7.0,Oliver Stone
1654,34416893,10.794175,6.7,Oliver Stone
1654,29506464,10.445391,6.1,Oliver Stone
1654,13681765,3.770161,7.1,Oliver Stone
1654,3468572,4.541908,6.7,Oliver Stone
1654,0,3.819796,7.0,Oliver Stone
1904,677945399,138.133331,8.2,Robert Zemeckis
1904,429632142,57.739713,7.5,Robert Zemeckis
1904,381109762,76.603233,8.0,Robert Zemeckis
1904,332000000,43.345252,7.4,Robert Zemeckis
1904,325233863,39.744242,6.6,Robert Zemeckis
1904,305875730,47.323228,6.4,Robert Zemeckis
1904,244527583,45.769562,7.1,Robert Zemeckis
1904,195735876,35.601665,5.5,Robert Zemeckis
1904,171120329,55.249434,7.2,Robert Zemeckis
1904,161772375,42.213765,6.5,Robert Zemeckis
1904,155464351,15.835672,6.3,Robert Zemeckis
1904,149022650,29.498304,6.3,Robert Zemeckis
1904,61181942,37.335721,6.9,Robert Zemeckis
1034,336529144,48.205606,5.2,Joel Schumacher
1034,238207122,50.073575,4.2,Joel Schumacher
1034,154648887,18.927463,7.0,Joel Schumacher
1034,152266007,25.219805,7.0,Joel Schumacher
1034,117615211,17.746719,6.4,Joel Schumacher
1034,97837138,38.018085,6.7,Joel Schumacher
1034,96618699,25.580272,6.1,Joel Schumacher
1034,77566815,23.197408,6.3,Joel Schumacher
1034,65977295,14.086292,5.4,Joel Schumacher
1034,61489265,24.114459,6.3,Joel Schumacher
1034,32222567,24.750909,6.8,Joel Schumacher
1034,4488529,5.271559,5.9,Joel Schumacher
1034,1569918,9.583578,6.8,Joel Schumacher
1930,767820459,45.313197,6.5,Ron Howard
1930,356613439,67.447636,6.5,Ron Howard
1930,355237933,68.140214,7.3,Ron Howard
1930,345141403,45.419668,6.2,Ron Howard
1930,313542341,59.248437,7.7,Ron Howard
1930,309492681,16.411345,6.4,Ron Howard
1930,108539911,24.100863,7.3,Ron Howard
1930,93820758,50.767332,6.5,Ron Howard
1930,90247624,33.003828,7.7,Ron Howard
1930,69821334,21.735068,6.1,Ron Howard
1930,67112664,14.780634,5.2,Ron Howard
1930,0,14.298297,5.7,Ron Howard
1930,0,16.87784,7.2,Ron Howard
156,412800000,49.510658,7.6,Barry Levinson
156,214015089,15.064058,5.9,Barry Levinson
156,165615285,16.245068,7.3,Barry Levinson
156,123922370,18.362333,7.1,Barry Levinson
156,67631903,24.353302,6.2,Barry Levinson
156,64256513,13.581966,6.7,Barry Levinson
156,41237648,11.203335,5.8,Barry Levinson
156,13100000,18.65988,5.8,Barry Levinson
156,6673422,8.31653,5.2,Barry Levinson
156,0,8.321586,6.7,Barry Levinson
156,0,0.068246,6.0,Barry Levinson
156,0,9.842771,4.8,Barry Levinson
156,0,5.87193,6.9,Barry Levinson
245,457696359,75.290998,6.7,Brian De Palma
245,103891409,20.790703,5.8,Brian De Palma
245,76270454,38.272889,7.6,Brian De Palma
